     ID      FirstName          LastName     Score
 6310429           Aaron       Audriella        92
    8635      Abdulkarim          Aahana         0
   12160        Abdullah           Jager         0
 1228932        Abdullah        Aviyanna        89
   18381            Abel           Aasha         0
   25683         Abraham           Aasia         0
   31256           Adams            Aavi         0
 7023549          Adolph           Aayan         0
   46530         Adolphe       Abdirahim         1
   48127       Agamemnon      Abdulhamid         1
   57351           Ahmad           Symia        74
   65822           Ahmad          Abisai         1
   84441           Ahmed           Akiem         1
   85247              Al        Abygayle        86
  123193              Al          Acacia         1
 3927294        Albatros           Adael         1
  130903        Albrecht         Adalyna         1
  145268            Aldo            Adan         2
  159223         Aldrich           Adein         2
 7141354         Aldrich          Monroe        68
  163402            Alex             Loa        54
  168995          Alexei           Adler        30
  170991         Alfonso           Adley        60
  172933         Alfonzo          Eliyas         2
  176673        Algernon          Adriel         2
  181523             Ali         Advitha        73
  186693           Allah        Agostino         2
  189234           Allin          Aharon         3
  196045           Allin         Aishani         3
  199873           Allyn          Akacia         3
 8740380          Alonzo            Svea        87
  225446          Ambros          Akriti         3
  230339         Ambrose             Ala         4
  232447       Ambrosius          Jazion         4
  240650           Amory          Alarik        40
  248865            Amos          Alayja         4
  255766         Anatoly             Evi         4
  256025          Anders          Aleila        69
 4565801          Andrey       Jeremiyah        41
  266177            Andy            Alem         4
  283835            Andy        Algernon         4
 4149346            Andy           Jaely        35
  290632           Angel         Alhasan         4
  297668           Ansel         Alishba         4
  309343          Ansell         Aliveah         4
 9187321          Ansell             Van        15
  339428          Anselm          Allana         5
 9747404          Antoni       Johnathon         5
  362367        Antonius              Zi         5
  363330          Archon            Alma         5
  391342           Archy          Almira         5
  392306           Archy           Amadi         5
 2611587           Archy           Deniz        23
  432727          Armand          Amiira         5
  440470       Armstrong         Amileah         6
  442994         Arnoldo           Egypt         6
 9544933            Aron           Yinuo        96
  534216           Arron            Ammi         6
  537244           Arvie           Ammie        33
 4605784           Arvie          Lillie        42
 3112768            Arvy        Eleonora        25
  555098             Ash          Anaisa        22
  566193          Ashish           Anari         7
  573782             Aub            Anay         7
  583331        Augustin           Andie         7
  584981        Augustus            Andy         7
  607095          Austin           Anees        58
  609923         Averell          Aneesa         8
  623250             Avi            Anel         8
  146800            Aziz          Addley        83
  632232            Aziz          Anelia         8
  640706          Bailey        Angelise         8
 3163963          Bailey             Anh         8
  644406           Baily             Anh         9
  653518           Baily          Anilah         9
 7098023           Baily           Kaeya        47
  662243            Barn          Anique         9
  673745        Barnebas     Anjolaoluwa         9
  675149         Barnett         Anmarie         9
  676167          Barney      Annaclaire         9
 2242519            Barr            Kaos        62
  697844          Barret        Annalynn         9
  703753            Bart           Ansen         9
  705922          Bartel        Antonino         9
  731580      Bartholomeo           Anyia         9
 3633401      Bartholomeus             Aoi         9
  760965          Bartie         Aradhya        10
  765137        Bartlett           Arata        10
  770822      Bartolomeo          Arayna        10
  787809          Barton           Areia        10
 2843923             Bay           Dwain        24
  982658          Bealle          Jarret        79
  869597            Bear          Arison        10
  882164            Beau           Arjun        10
 8260360            Beck      Beauregard        11
  909579            Bela         Arkadia        11
  911586            Bela           Arlan        11
  915235           Bengt           Artie        11
  960233           Benjy         Aryanna        84
  965041         Beowulf           Aryes        11
 4206194        Bernardo          Jailyn        36
  984569           Bernd            Ashe        11
 8209429            Bert          Aadhya        11
 6824236          Bjorne           Ashli        11
 2685203          Bjorne        Domminic        23
 1028748           Blare            Asia        11
 1035407          Bogdan        Rudransh        11
 1051534            Brad            Asra        11
 1074731            Brad          Atenea        11
 1093634           Brian         Atharva         7
  265457          Briggs         Aleiyah         4
 1114481        Brinkley         Attilio        12
 1121296        Brinkley        Zacharia        12
  642354          Brooke       Aubrielle        12
 1133623           Bruce       Aubrionna        12
 1145286           Bruno          Audrea         2
 1167382           Bruno         Ashleen        12
 4070566           Bruno      Kenzington        50
 1185865          Bryant          August        12
 1204920           Bryce              Kc        12
 9695007             Bud          Zannah        98
 3255991           Burke       Devarious        96
 7182187         Burnaby      Munachimso        68
 1229948            Burt          Ayelen        13
 1243265            Cain         Ayodele        13
 1251568            Cain          Ayunna        13
 4117168            Cain          Jacson        35
 1256237           Caleb       Balthazar        35
 1267191             Cam           Basil        13
 1290831         Cameron          Baylie        13
 5313815          Carlie         Ulisses        49
 5662029           Carlo        Cassidie        13
 1311877          Carlos            Behr        13
 1323186            Cary           Belen        13
 1332638            Cary        Bellamia        13
 1337835            Case          Bemnet        14
 1344444           Casey          Benton        14
 1348006          Caspar           Bhumi        14
 1100623          Casper          Bianey        14
 1354499           Chadd           Bilen        14
 8602731          Chance        Sidhanth        85
 2111358         Chancey          Jaivon        36
 1404117      Chanderjit          Boston        14
 1413850        Chandler           Bowie        14
 1425633        Chandler         Braelee        15
 1430676           Chane           Brand        15
 1434484         Charley           Korin        15
 1447164         Charley        Brantley        15
 1474769         Charley        Brantlie         3
 1506640         Chaunce        Braydenn        15
 1975244         Chaunce          Kaimen        74
 1519712        Chauncey          Breann        15
 1522658             Che         Brendyn        15
 1527710          Christ        Brettley        15
 1528647      Christorpher         Breydan        15
 1545687        Christos         Briella        15
 1555169        Clarance        Brighten        11
 1566816        Clarance        Brighton        15
 1593099          Claude          Briley        15
