     ID      FirstName          LastName     Score
 2769502           Aamir           Dnyla         0
    2213           Aamir       Aabriella         0
    4382           Aamir       Aabriella         0
 9413374           Aamir        Christan        86
    4550           Aaron            Ansh         0
    5260           Aaron           Aadan         0
    7817           Aaron        Keiandre         0
    7932           Aaron           Aadhi         0
    8021           Aaron           Aadhi         0
    8051           Aaron         Aadhvik         0
    8476           Abbey          Nasiah         0
    8486           Abbey         Aaditya         0
  238706           Abbey           Aadiv         0
   10039           Abbey           Aagam         0
   12175           Abbey           Aahan         0
   12700           Abbie           Aaila         0
   15140           Abbot           Aaira         0
 8109733           Abbot          Romell        82
 8713935           Abbot            Skye        88
 8986599           Abbot          Tarryn        91
   17773          Abbott         Aalayah         0
   19023          Abbott         Aalayah         0
 5065385          Abbott          Annley         9
 5936693          Abbott          Layaan        60
   19054            Abby         Aalayna        12
   22725            Abby       Skarlette         0
   22883            Abby         Aaleiah        59
   24133            Abby            Aali         0
 2744401            Abby           Essex        32
   25046           Abdel          Aaliya         0
   29740           Abdel          Aalyah         0
 8714753           Abdel            Skye        88
 2393777           Abdul          Aalyah         0
   31988           Abdul         Aalyiah         0
   33687           Abdul          Aalyna         0
   34975           Abdul         Khaliya         0
   38135           Abdul          Aamina         0
   38343           Abdul          Aanika         0
 4830460           Abdul             Nay        64
   40392      Abdulkarim         Aaniyah         4
 9526364      Abdulkarim          Torben         0
   42792      Abdulkarim         Aaradhy         0
 3858154      Abdulkarim           Ilham        40
   42895        Abdullah         Aaralyn         0
   44599        Abdullah           Aaran        59
   46022            Abel           Aarav         0
   47830            Abel          Aarion         0
   49737            Abel           Aaris         0
 9539194            Abel            Jera        41
   50630         Abelard           Aariv         0
   51907         Abelard         Aariyah         0
  608716         Abelard          Amaira         6
   53586           Abner          Aarohi         0
   54172           Abner           Aaron         0
   55776           Abner      Aaronjames        86
   56162           Abner          Aaruhi         0
 2813823           Abner          Aaruhi         0
  727302           Abner          Amorie         7
   57262         Abraham          Aarush         0
