     ID      FirstName          LastName     Score
 5737612           Aamir           Dejan        57
    5979           Aaron       Aabriella         0
    8321           Aaron          Aadhya         0
    8519           Aaron         Aadhyan         0
    8520           Abbey            Aadi        15
   11067           Abbey           Aadin         0
   11424           Abbey           Aadin         0
   11547           Abbey           Jawan         0
   16936           Abbey         Aadrian         0
 4385515           Abbey        Jatavion        44
   18216           Abbie           Aaila         0
 7049060           Abbie          Aaisha         0
 4242847           Abbie            Aala         0
   21315           Abbie        Aaleahya        40
  254110           Abbie           Adler         2
 9756664           Abbie            Roan        94
   22619           Abbot         Aaleena         0
   23617           Abbot         Aaleyah         0
 3053565           Abbot           Emlyn        31
   25121          Abbott            Aali         0
   27130          Abbott          Aaliah         0
 2963254          Abbott        Brittain        30
   27373            Abby         Aalivia         0
 6697987            Abby          Aaliya         0
   29097            Abby        Aaliyana         0
   30553           Abdel       Aaliyanna        46
   31576           Abdel           Aalya         0
   32051           Abdel           Aalya         0
   32497           Abdel         Aamanee         0
   32685           Abdel           Aamia         0
 7667056           Abdel            Remi        87
   38188           Abdul         Aamiyah         0
   39128           Abdul       Oluwafemi        80
   39307           Abdul          Aaravi         0
   39329           Abdul          Aarian         0
   44550           Abdul        Aarielle         0
 1683847           Abdul          Eythan        64
 5903660           Abdul          Naviah        20
 7434455           Abdul         Nikkita        75
   44974      Abdulkarim          Aarien         0
   49702      Abdulkarim        Aarilynn        61
 2330351      Abdulkarim         Damonie        23
   50114        Abdullah           Aarin         0
   50229        Abdullah          Aarion         0
   51487        Abdullah        Aariyana         0
   52110        Abdullah           Aariz         0
   53006        Abdullah          Aarohi         0
   55267             Abe          Aarohi        41
   56948             Abe          Aarohi         0
   57402             Abe           Aarvi         0
   58138            Abel          Aaryon         0
   58675            Abel           Aashi         0
   58792            Abel           Aashi         0
   58858            Abel           Aashi         0
 2832733            Abel       Edengrace        29
   61305         Abelard         Aashika         0
   61515         Abelard          Aashir         0
   62969         Abelard           Aasia         0
   63185         Abelard           Aasim         0
   63423         Abelard          Aasiya         0
 8820397         Abelard            Deen        40
