     ID      FirstName          LastName     Score
 2196632          Abbott          Sirius        97
  852422         Abelard            Yumi        73
 2213730           Abram          Kelsey        15
 7031187           Adams          Aralyn        35
 1529764           Adams          Lohgan        76
 4608745           Addie          Paylen        18
 2762028         Adolphe         Navarro        52
 2359022         Adolpho         Janziel        24
 2981900          Adrian          Joyous         5
 8213357          Aharon      Kingjosiah        89
 2482449           Ahmet          Herson        38
 4465899           Ahmet          Tamera        90
 6915788            Alaa         Musashi        91
 1654946            Alan          Ronith        96
 3251957          Albert          Koltan        43
 9312355          Albert            Nola        69
 1497003           Aldis          Maleah        12
 4550486         Aldrich            Rein        27
 8300791            Alec           Tison        73
 6212368            Alex         Eryanna        39
 6401274          Alexei        Alilyana        71
 9533642         Alfonso        Arrionna        62
 8946957         Alfonzo            Reis        38
 1642735           Allan      Blakeleigh        60
 4745106           Allen          Gunner        57
 4465614           Alley          Serina        22
 1815871        Aloysius        Sneijder        36
 1647810        Alphonso             Mae        73
 7304827          Alston            Ruba        70
 3107310           Alton           Lalia        98
 1003788           Alvin            Adan        18
 4095459           Alwin        Osbourne        75
 7395855         Amadeus         Yocelyn         7
 2260490         Ambrosi         Malaysa        81
 2449451            Amos         Janesha        85
 4760394         Anatoly       Hemingway        54
 9099717           Andie           Remas        82
 6687033         Andonis           Ahaan         8
  859384           Andre          Carlin        62
 8874053          Andrej           Dovie        37
 7686943         Andrzej           Ethin         2
 7449557           Angel         Elyssia        54
 3476462           Ansel           Najmo        46
 4461677         Antoine            Hawi        46
 7771349         Antoine          Alette         8
  371178         Antonio          Ruqiya        93
 6487091          Apollo          Otavio        88
 9247451       Apostolos            Kavi        15
 2180923            Aram          Kelvin        65
 5073199          Archie          Jexiel        27
 5212376           Arnie           Kadyn        24
 4328391           Arnie          Zariya        75
 6931993            Aron         Dmitriy        72
 9561308           Artie           Renae        88
 1768530           Arvie           Gouri         8
 4914984           Arvin            Jehu        55
  626575          Ashish            Azul        30
 2450548          Ashish         Daevion        95
 2409686           Augie            Xabi        51
  557031       Augustine       Khrystian       100
 3823683       Augustine           Boede        36
 2672091         Augusto          Najair        60
 7789789        Augustus            Maxx        72
 1745109          Austen         Dinorah        46
 9561697          Austen         Holston        40
